"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2020"
"Category","Total"
"Korea",24.1
"Lithuania",20.3
"Hungary",16.1
"Slovenia",15.7
"Japan",15.4
"Estonia",15.1
"Latvia",14.9
"Belgium",14.6
"United States",14.1
"Finland",12.9
"Iceland",12.7
"Australia",12.6
"France",12.5
"Sweden",11.6
"Poland",11.5
"Czechia",10.9
"Austria",10.8
"Canada",10.7
"Switzerland",10.6
"Netherlands",10
"Germany",9.7
"Denmark",9.6
"Luxembourg",9.4
"Ireland",9.4
"Chile",8.4
"United Kingdom",8.4
"Spain",7.5
"Costa Rica",7.1
"Mexico",6.3
"Slovak Rep.",6.3
"Colombia",5.7
"Israel",5.7
"Italy",5.4
"Greece",3.9
